iter	Passed	Remaining
744	2641	904
745	2643	900
746	2646	896
747	2649	892
748	2652	888
749	2655	885
750	2657	881
751	2660	877
752	2663	873
753	2666	869
754	2668	866
755	2671	862
756	2674	858
757	2677	854
758	2679	850
759	2682	847
760	2685	843
761	2687	839
762	2690	835
763	2693	832
764	2696	828
765	2698	824
766	2701	820
767	2704	816
768	2706	813
769	2709	809
770	2712	805
771	2715	801
772	2718	798
773	2721	794
774	2725	791
775	2728	787
776	2731	783
777	2733	780
778	2736	776
779	2739	772
780	2742	768
781	2745	765
782	2747	761
783	2750	757
784	2753	754
785	2756	750
786	2758	746
787	2761	742
788	2764	739
789	2767	735
790	2769	731
791	2772	728
792	2775	724
793	2777	720
794	2780	716
795	2783	713
796	2786	709
797	2788	705
798	2791	702
799	2794	698
800	2797	694
801	2800	691
802	2802	687
803	2805	683
804	2808	680
805	2810	676
806	2813	672
807	2816	669
808	2819	665
809	2821	661
810	2824	658
811	2827	654
812	2830	650
813	2832	647
814	2835	643
815	2838	639
816	2840	636
817	2843	632
818	2845	628
819	2848	625
820	2850	621
821	2853	617
822	2857	614
823	2860	610
824	2863	607
825	2866	603
826	2869	600
827	2872	596
828	2875	593
829	2877	589
830	2880	585
831	2883	582
832	2886	578
833	2889	575
834	2891	571
835	2894	567
836	2897	564
837	2899	560
838	2902	557
839	2905	553
840	2908	549
841	2910	546
842	2913	542
843	2916	539
844	2919	535
845	2922	531
846	2924	528
847	2927	524
848	2930	521
849	2933	517
850	2936	514
851	2938	510
852	2941	506
853	2944	503
854	2947	499
855	2949	496
856	2952	492
857	2955	489
858	2957	485
859	2960	481
860	2963	478
861	2966	474
862	2968	471
863	2971	467
864	2974	464
865	2977	460
866	2979	457
867	2982	453
868	2986	450
869	2990	446
870	2993	443
871	2996	439
872	2999	436
873	3001	432
874	3004	429
875	3007	425
876	3010	422
877	3013	418
878	3015	415
879	3018	411
880	3021	408
881	3023	404
882	3026	401
883	3029	397
884	3032	394
885	3035	390
886	3038	387
887	3040	383
888	3043	380
889	3046	376
890	3048	372
891	3051	369
892	3054	365
893	3057	362
894	3059	358
895	3062	355
896	3065	352
897	3068	348
898	3071	345
899	3074	341
900	3077	338
901	3079	334
902	3082	331
903	3085	327
904	3087	324
905	3090	320
906	3093	317
907	3096	313
908	3098	310
909	3101	306
910	3104	303
911	3106	299
912	3109	296
913	3112	292
914	3114	289
915	3117	285
916	3120	282
917	3123	278
918	3126	275
919	3130	272
920	3133	268
921	3136	265
922	3139	261
923	3141	258
924	3144	254
925	3147	251
926	3150	248
927	3153	244
928	3156	241
929	3159	237
930	3162	234
931	3165	230
932	3168	227
933	3171	224
934	3173	220
935	3176	217
936	3180	213
937	3182	210
938	3185	206
939	3188	203
940	3190	200
941	3193	196
942	3196	193
943	3199	189
944	3202	186
945	3204	182
946	3207	179
947	3210	176
948	3213	172
949	3216	169
950	3219	165
951	3221	162
952	3224	159
953	3227	155
954	3230	152
955	3232	148
956	3235	145
957	3238	141
958	3241	138
959	3243	135
960	3246	131
961	3249	128
962	3253	124
963	3256	121
964	3260	118
965	3262	114
966	3265	111
967	3268	108
968	3271	104
969	3274	101
970	3277	97
971	3280	94
972	3282	91
973	3285	87
